Converged in 5 iterations.

Bus Voltages:
Bus Number   Real         Imaginary    Magnitude    Angle       
184          0.9660       -0.0040      0.9660       -0.24       
185          0.9606       -0.0027      0.9606       -0.16       
186          0.9564       -0.0016      0.9564       -0.10       
187          0.9534       -0.0009      0.9534       -0.05       
188          0.9522       -0.0006      0.9522       -0.03       
189          0.9596       -0.0024      0.9596       -0.14       
190          0.9555       -0.0013      0.9555       -0.08       
191          0.9515       -0.0002      0.9515       -0.01       
192          0.9513       -0.0002      0.9513       -0.01       
193          0.9596       -0.0024      0.9596       -0.14       
194          0.9555       -0.0013      0.9555       -0.08       
195          0.9525       -0.0005      0.9525       -0.03       
196          0.9513       -0.0002      0.9513       -0.01       
197          0.9624       -0.0044      0.9624       -0.26       
198          0.9568       -0.0031      0.9568       -0.18       
199          0.9524       -0.0021      0.9524       -0.12       
200          0.9499       -0.0014      0.9499       -0.09       
201          0.9486       -0.0011      0.9486       -0.07       
202          0.9559       -0.0027      0.9560       -0.16       
203          0.9505       -0.0014      0.9505       -0.08       
204          0.9489       -0.0011      0.9489       -0.07       
205          0.9476       -0.0008      0.9476       -0.05       
206          0.9559       -0.0027      0.9560       -0.16       
207          0.9515       -0.0018      0.9515       -0.11       
208          0.9489       -0.0011      0.9489       -0.07       
209          0.9476       -0.0008      0.9476       -0.05       
210          0.9619       -0.0043      0.9619       -0.26       
211          0.9578       -0.0032      0.9578       -0.19       
212          0.9554       -0.0026      0.9554       -0.16       
213          0.9543       -0.0023      0.9543       -0.14       
214          0.9569       -0.0029      0.9569       -0.18       
215          0.9545       -0.0023      0.9545       -0.14       
216          0.9569       -0.0029      0.9569       -0.17       
217          0.9569       -0.0029      0.9569       -0.18       
218          0.9546       -0.0023      0.9546       -0.14       
219          0.9534       -0.0020      0.9534       -0.12       
220          0.9610       -0.0042      0.9610       -0.25       
221          0.9556       -0.0029      0.9556       -0.17       
222          0.9520       -0.0020      0.9520       -0.12       
223          0.9496       -0.0014      0.9496       -0.08       
224          0.9484       -0.0011      0.9484       -0.07       
225          0.9538       -0.0023      0.9538       -0.14       
226          0.9511       -0.0016      0.9511       -0.10       
227          0.9487       -0.0010      0.9487       -0.06       
228          0.9474       -0.0007      0.9474       -0.04       
229          0.9546       -0.0026      0.9547       -0.15       
230          0.9511       -0.0016      0.9511       -0.10       
231          0.9487       -0.0010      0.9487       -0.06       
232          0.9475       -0.0008      0.9475       -0.05       
233          0.9574       -0.0048      0.9574       -0.29       
234          0.9525       -0.0035      0.9525       -0.21       
235          0.9489       -0.0026      0.9489       -0.16       
236          0.9549       -0.0041      0.9549       -0.25       
237          0.9537       -0.0038      0.9538       -0.23       
238          0.9516       -0.0032      0.9516       -0.19       
239          0.9480       -0.0022      0.9480       -0.14       
240          0.9540       -0.0038      0.9541       -0.23       
241          0.9529       -0.0035      0.9529       -0.21       
242          0.9516       -0.0032      0.9516       -0.19       
243          0.9480       -0.0022      0.9480       -0.13       
244          0.9540       -0.0038      0.9540       -0.23       
245          0.9528       -0.0035      0.9528       -0.21       
246          0.9560       -0.0054      0.9560       -0.32       
247          0.9480       -0.0035      0.9481       -0.21       
248          0.9413       -0.0019      0.9413       -0.11       
249          0.9363       -0.0007      0.9363       -0.04       
250          0.9326       0.0002       0.9326       0.01        
251          0.9301       0.0008       0.9301       0.05        
252          0.9289       0.0011       0.9289       0.07        
253          0.9471       -0.0031      0.9471       -0.19       
254          0.9394       -0.0012      0.9394       -0.07       
255          0.9354       -0.0003      0.9354       -0.02       
256          0.9317       0.0005       0.9317       0.03        
257          0.9291       0.0011       0.9291       0.07        
258          0.9280       0.0014       0.9280       0.08        
259          0.9471       -0.0031      0.9471       -0.19       
260          0.9404       -0.0016      0.9404       -0.10       
261          0.9354       -0.0003      0.9354       -0.02       
262          0.9316       0.0005       0.9316       0.03        
263          0.9292       0.0011       0.9292       0.07        
264          0.9280       0.0014       0.9280       0.09        
265          0.9551       -0.0056      0.9551       -0.34       
266          0.9503       -0.0044      0.9504       -0.27       
